시군구별,연도,월,남자,여자,전체,성비
강원특별자치도,2016,12,379.0,352.0,731.0,1.0767045454545454
강원특별자치도,2017,01,429.0,401.0,830.0,1.0698254364089776
강원특별자치도,2017,02,394.0,371.0,765.0,1.0619946091644206
강원특별자치도,2017,03,415.0,360.0,775.0,1.1527777777777777
강원특별자치도,2017,04,411.0,358.0,769.0,1.1480446927374302
강원특별자치도,2017,05,369.0,387.0,756.0,0.9534883720930233
강원특별자치도,2017,06,370.0,341.0,711.0,1.0850439882697946
강원특별자치도,2017,07,378.0,367.0,745.0,1.0299727520435968
강원특별자치도,2017,08,414.0,400.0,814.0,1.035
강원특별자치도,2017,09,399.0,363.0,762.0,1.0991735537190082
강원특별자치도,2017,10,357.0,364.0,721.0,0.9807692307692307
강원특별자치도,2017,11,381.0,334.0,715.0,1.1407185628742516
강원특별자치도,2017,12,311.0,284.0,595.0,1.0950704225352113
강원특별자치도,2018,01,436.0,438.0,874.0,0.9954337899543378
강원특별자치도,2018,02,380.0,393.0,773.0,0.9669211195928753
강원특별자치도,2018,03,377.0,356.0,733.0,1.0589887640449438
강원특별자치도,2018,04,365.0,366.0,731.0,0.9972677595628415
강원특별자치도,2018,05,336.0,334.0,670.0,1.0059880239520957
강원특별자치도,2018,06,322.0,311.0,633.0,1.0353697749196142
강원특별자치도,2018,07,372.0,320.0,692.0,1.1625
강원특별자치도,2018,08,367.0,333.0,700.0,1.102102102102102
강원특별자치도,2018,09,346.0,350.0,696.0,0.9885714285714285
강원특별자치도,2018,10,348.0,325.0,673.0,1.0707692307692307
강원특별자치도,2018,11,288.0,321.0,609.0,0.897196261682243
강원특별자치도,2018,12,279.0,288.0,567.0,0.96875
강원특별자치도,2019,01,450.0,412.0,862.0,1.0922330097087378
강원특별자치도,2019,02,335.0,311.0,646.0,1.0771704180064308
강원특별자치도,2019,03,384.0,342.0,726.0,1.1228070175438596
강원특별자치도,2019,04,375.0,355.0,730.0,1.056338028169014
강원특별자치도,2019,05,350.0,347.0,697.0,1.0086455331412103
강원특별자치도,2019,06,325.0,309.0,634.0,1.051779935275081
강원특별자치도,2019,07,375.0,329.0,704.0,1.1398176291793314
강원특별자치도,2019,08,310.0,383.0,693.0,0.8093994778067886
강원특별자치도,2019,09,316.0,283.0,599.0,1.11660777385159
강원특별자치도,2019,10,381.0,326.0,707.0,1.1687116564417177
강원특별자치도,2019,11,330.0,330.0,660.0,1.0
강원특별자치도,2019,12,326.0,299.0,625.0,1.0903010033444815
강원특별자치도,2020,01,352.0,371.0,723.0,0.9487870619946092
강원특별자치도,2020,02,359.0,295.0,654.0,1.2169491525423728
강원특별자치도,2020,03,355.0,365.0,720.0,0.9726027397260274
강원특별자치도,2020,04,319.0,367.0,686.0,0.8692098092643051
강원특별자치도,2020,05,338.0,307.0,645.0,1.1009771986970684
강원특별자치도,2020,06,341.0,330.0,671.0,1.0333333333333334
강원특별자치도,2020,07,338.0,281.0,619.0,1.2028469750889679
강원특별자치도,2020,08,284.0,313.0,597.0,0.9073482428115016
강원특별자치도,2020,09,330.0,345.0,675.0,0.9565217391304348
강원특별자치도,2020,10,330.0,323.0,653.0,1.021671826625387
강원특별자치도,2020,11,307.0,278.0,585.0,1.10431654676259
강원특별자치도,2020,12,304.0,303.0,607.0,1.0033003300330032
강원특별자치도,2021,01,355.0,381.0,736.0,0.931758530183727
강원특별자치도,2021,02,313.0,272.0,585.0,1.150735294117647
강원특별자치도,2021,03,329.0,355.0,684.0,0.9267605633802817
강원특별자치도,2021,04,302.0,286.0,588.0,1.055944055944056
강원특별자치도,2021,05,292.0,274.0,566.0,1.0656934306569343
강원특별자치도,2021,06,308.0,285.0,593.0,1.080701754385965
강원특별자치도,2021,07,375.0,300.0,675.0,1.25
강원특별자치도,2021,08,327.0,322.0,649.0,1.015527950310559
강원특별자치도,2021,09,297.0,297.0,594.0,1.0
강원특별자치도,2021,10,310.0,308.0,618.0,1.0064935064935066
강원특별자치도,2021,11,297.0,290.0,587.0,1.0241379310344827
강원특별자치도,2021,12,245.0,237.0,482.0,1.0337552742616034
강원특별자치도,2022,01,346.0,355.0,701.0,0.9746478873239437
강원특별자치도,2022,02,297.0,277.0,574.0,1.0722021660649819
강원특별자치도,2022,03,331.0,326.0,657.0,1.0153374233128833
강원특별자치도,2022,04,280.0,290.0,570.0,0.9655172413793104
